year,type,alat_tangkap,jumlah,,,,,
2021,layur,jaring_rampus,67,,,,,
2021,layang,jaring_rampus,0,,,peperek,jaring_rampus,202.7
2021,siro,jaring_rampus,0,,,,pancing,0
2021,teri,jaring_rampus,0,,,,jaring_payang,67459.4
2021,tenggiri,jaring_rampus,5675,,,,bagan_apung,30583.5
2021,tongkol,jaring_rampus,5778.1,,,,bagan_tancap,57324.4
2021,tembang,jaring_rampus,270080,,,,jaring_insang,0
2021,belanak,jaring_rampus,0,,,,sero,0
2021,kembung,jaring_rampus,158287.4,,,,lainnya,373592.2
2021,peperek,jaring_rampus,202.7,,,,,
2021,cucut,jaring_rampus,229,,,,,
2021,selar,jaring_rampus,1004.9,,,,,
2021,udang_krosok,jaring_rampus,0,,,,,
2021,kerapu,jaring_rampus,114,,,,,
2021,kakap_merah,jaring_rampus,3.5,,,,,
2021,kwe,jaring_rampus,485.5,,,,,
2021,manyung,jaring_rampus,1461,,,,,
2021,cumi_cumi,jaring_rampus,0,,,,,
2021,bawal_hitam,jaring_rampus,,,,,,
2021,beloso,jaring_rampus,6269,,,,,
2021,ekor_kuning,jaring_rampus,23,,,,,
2021,rajungan,jaring_rampus,159,,,,,
2021,kurisi,jaring_rampus,8.3,,,,,
2021,pari,jaring_rampus,197,,,,,
2021,layaran,jaring_rampus,0,,,,,
2021,sotong,jaring_rampus,0,,,,,
2021,bawal_putih,jaring_rampus,4.6,,,,,
2021,gulamah,jaring_rampus,12088,,,,,
2021,ikan_sebelah,jaring_rampus,10.9,,,,,
2021,kuniran,jaring_rampus,0,,,,,
2021,udang_jerbung,jaring_rampus,1015,,,,,
2021,japuh,jaring_rampus,0,,,,,
2021,tetengkek,jaring_rampus,235.6,,,,,
2021,cendro,jaring_rampus,69,,,,,
2021,golok_golok,jaring_rampus,2069,,,,,
2021,talang_talang,jaring_rampus,1324,,,,,
2021,kerong_kerong,jaring_rampus,0,,,,,
2021,gurita,jaring_rampus,,,,,,
2021,bentong,jaring_rampus,,,,,,
