,years,category,type,produksi*kg
1,2017,1,bawal_putih,10
2,2017,2,cucut,181
3,2017,2,layaran,240
4,2017,2,ekor_kuning,763
5,2017,2,kakap_merah,1021
6,2017,1,udang_jerbung,1075
7,2017,2,cendro,2662
8,2017,1,kakap_putih,2890
9,2017,2,talang_talang,3011
10,2017,1,layur,3042
11,2017,3,bawal_hitam,3208
12,2017,1,kuro,3467
13,2017,2,layang,4035
14,2017,1,manyung,4190
15,2017,2,ikan_sebelah,7027
16,2017,2,golok_golok,7502
17,2017,1,kerong_kerong,7734
18,2017,2,tongkol,8288
19,2017,1,beloso,9390
20,2017,3,kwe,11037
21,2017,3,tetengkek,11591
22,2017,1,alu_alu,14064
23,2017,2,belanak,15200
24,2017,1,pari,16062
25,2017,2,siro,16786
26,2017,2,japuh,20412
27,2017,2,sotong,23008
28,2017,1,kurisi,24091
29,2017,1,gulamah,25902
30,2017,1,udang_krosok,27320
31,2017,2,tenggiri,27953
32,2017,2,kuniran,41301
33,2017,2,selar,46217
34,2017,1,rajungan,56965
35,2017,2,kembung,68085
36,2017,1,udang_lainnya,87711
37,2017,2,tembang,262009
38,2017,2,cumi_cumi,327516
39,2017,2,teri,357184
40,2017,1,peperek,603581
41,2018,1,swangi,31
42,2018,1,setuhuk_hitam,33
43,2018,1,kerong_kerong,39
44,2018,1,lencam,78
45,2018,1,gerot_gerot,106
46,2018,1,kapasan,132
47,2018,1,lemadang,183
48,2018,1,bawal_putih,248
49,2018,2,beronang,352
50,2018,2,layaran,554
51,2018,2,cucut,1323
52,2018,1,kakap_putih,1366
53,2018,2,kakap_merah,1384
54,2018,2,bentong,1516
55,2018,3,bawal_hitam,1750
56,2018,2,ekor_kuning,1880
57,2018,1,kerapu,2187
58,2018,1,layur,2262
59,2018,1,udang_jerbung,2619
60,2018,1,kuro,3007
61,2018,2,talang_talang,5072
62,2018,2,gurita,5190
63,2018,2,cendro,5378
64,2018,1,manyung,7231
65,2018,1,kurisi,8548
66,2018,1,alu_alu,8794
67,2018,3,kwe,13402
68,2018,1,beloso,13457
69,2018,2,belanak,15023
70,2018,3,tetengkek,15342
71,2018,2,golok_golok,15704
72,2018,2,layang,17410
73,2018,2,ikan_sebelah,20792
74,2018,2,tongkol,28468
75,2018,2,tenggiri,32115
76,2018,2,sotong,32486
77,2018,1,udang_krosok,33517
78,2018,1,pari,36856
79,2018,2,japuh,37298
80,2018,2,selanget,56659
81,2018,1,gulamah,69871
82,2018,1,udang_lainnya,74463
83,2018,2,selar,75916
84,2018,2,kuniran,95898
85,2018,2,kembung,121340
86,2018,1,rajungan,133703
87,2018,2,siro,163830
88,2018,2,tembang,192443
89,2018,2,cumi_cumi,216457
90,2018,2,teri,369196
91,2018,1,peperek,434438
92,2019,1,lemadang,30
93,2019,1,setuhuk_hitam,51
94,2019,1,swangi,265
95,2019,1,bawal_putih,277
96,2019,1,gerot_gerot,325
97,2019,1,lencam,470
98,2019,1,kapasan,530
99,2019,2,beronang,645
100,2019,3,bawal_hitam,797
101,2019,2,ekor_kuning,1128
102,2019,2,bentong,1232
103,2019,2,kakap_merah,1359
104,2019,2,layaran,1502
105,2019,1,kerapu,1741
106,2019,1,kerong_kerong,1745
107,2019,1,layur,1772
108,2019,2,cucut,2137
109,2019,1,udang_jerbung,2280
110,2019,2,cendro,3396
111,2019,1,kakap_putih,3879
112,2019,2,layang,3924
113,2019,1,alu_alu,5800
114,2019,1,kuro,6365
115,2019,3,tetengkek,6943
116,2019,2,talang_talang,6969
117,2019,2,gurita,7788
118,2019,1,manyung,12664
119,2019,1,kurisi,12809
120,2019,3,kwe,12902
121,2019,2,japuh,13581
122,2019,2,ikan_sebelah,15338
123,2019,2,belanak,15761
124,2019,2,golok_golok,16473
125,2019,1,beloso,25211
126,2019,2,selar,25903
127,2019,1,pari,25991
128,2019,1,udang_krosok,28155
129,2019,2,siro,31101
130,2019,2,tenggiri,38734
131,2019,2,tongkol,54836
132,2019,2,sotong,55145
133,2019,1,udang_lainnya,64362
134,2019,2,selanget,65600
135,2019,1,gulamah,87263
136,2019,2,kembung,89496
137,2019,1,rajungan,118235
138,2019,2,tembang,190246
139,2019,2,kuniran,224736
140,2019,2,cumi_cumi,242054
141,2019,2,teri,464923
142,2019,1,peperek,651455
143,2020,1,bawal_putih,178
144,2020,2,ikan_terbang,338
145,2020,2,layaran,891
146,2020,1,kakap_putih,1139
147,2020,2,kakap_merah,1309
148,2020,2,beronang,1511
149,2020,2,cucut,1531
150,2020,2,cendro,1653
151,2020,2,ekor_kuning,1719
152,2020,1,gerot_gerot,1902
153,2020,1,layur,1947
154,2020,3,jenaha,1961
155,2020,1,semar,2262
156,2020,1,kerong_kerong,2441
157,2020,2,gurita,2685
158,2020,2,bentong,2749
159,2020,2,teri_nasi,3166
160,2020,2,talang_talang,4469
161,2020,1,kuro,5670
